region,timezone,language,lasttime,created_bill,package,hours_user,sum_vm,sum_length,is_paid
HK,8,en,2,114,6x2080ti,1216,2,31295036200,1
US,-8,en,0,51,1x3090,12,1,27517779968,1
FR,1,fr,0,28,1x3090,16,1,10448409166,1
DE,1,zh,59,1679,23,51,3,3.17314E+11,1
CA,-8,en,20,841,1x3090,1185,2,1.50784E+11,1
IN,5,en,310,35,6x2080ti,5,3,1.73837E+11,1
BR,1,en,1,81,cpuhub1,51,2,21051142660,1
BR,-3,pt,0,289,1x3090,92,1,31886147584,0
GB,1,en,35,11,1x3090,209,1,26223719866,1
BR,-3,pt,2,59,1x3090,44,6,2.2055E+11,1
VN,7,en,0,16,1x3090,45,1,48810479943,1
VN,7,en,2,35,1x3090,7,2,80065960071,1
RU,3,ru,0,1197,cpuhub1,78,4,2.34692E+11,0
VN,7,en,1,118,1x3090,89,2,1.8999E+11,1
HK,2,en,0,316218,1x3090,18,1,25311576064,0
HR,2,hr,1,1220,1x3090,82,1,42329964544,0
DE,2,en,115,109,16,22,7,2.37525E+11,1
BR,-3,en,384,1495,1x3090,47,1,3.32077E+11,1
