region,timezone,language,lasttime,created_bill,package,hours_use,sum_length,is_paid
NZ,12,en,0,0.6,cpuhub1,0.083333333,26.8477399,0
SA,3,en,10,74.01666667,1x3090,0.516666667,139.565,0
PH,8,en,27,0.466666667,23,0.25,767.678,1
IT,1,it,413,5.233333333,cpuhub1,0.066666667,52.76015002,0
US,-5,en,0,0.533333333,1x2080Ti,3,12.5304832,0
ID,7,en,85,26.48333333,1x3090,0.266666667,57.01191403,1
GB,0,en,1,17.03333333,16,0.266666667,50.78672998,0
AR,-3,es,1,0.866666667,6x3080,1.166666667,4.52308125,1
IL,3,he,1,1.066666667,1x3090,0.116666667,109.621,1
KW,3,en,45,0.983333333,16,3.3,98.90209665,1
PE,-5,en,229,3.933333333,1x2080Ti,10.83333333,74.84978563,1
BY,3,ru,0,0.25,1x3090,0.216666667,24.17282253,0
CZ,1,cs,0,2.283333333,1x3090,0.016666667,54.43262874,0
DE,1,de,407,3.866666667,1x3090,0.883333333,318.942,1
US,-5,en,31,92.63333333,6x3090,0.566666667,616.077,1
VN,7,vi,96,4.416666667,1x2080Ti,1.416666667,80.16821989,1
IT,2,en,0,589.8166667,cpuhub1,0.6,63.22074419,0
DE,1,fr,0,0.566666667,1x3090,0.6,40.82840371,0
IT,1,en,87,0.8,22,0.533333333,46.84992967,1
AO,1,en,31,0.416666667,1x2080Ti,0.533333333,102.142,1
TW,8,zh,0,11.18333333,golden,0.233333333,10.94923059,0
GR,3,en,8,15.28333333,1x3090,1.733333333,51.44208998,1
YE,3,en,309,35.31666667,1x3090,0.3,224.264,1
US,-5,en,174,3.05,1x3090,0.983333333,313.311,1
NL,2,nl,0,0.2,1x3090,0.1,146.73,0
GB,0,en,174,166.05,6x3090,0.05,935.724,1
VN,7,en,575,13,1x3080,0.85,194.515,1
IN,5,en,118,18.01666667,1x3090,1,13.65141094,0
TR,3,tr,0,0.683333333,1x3090,0.15,55.97403546,0
TW,8,zh,255,3.433333333,1x3090,0.166666667,60.58881843,1
PA,-5,es,45,26.83333333,1x3090,0.533333333,133.902,1
US,-7,en,94,240.7,18,0.233333333,40.90599834,1
